Round,Player,Hand,Outcome,Return
93,0,0,LOSE,-10
93,1,0,LOSE,-10
93,2,0,WIN,10
94,0,0,WIN,10
94,1,0,WIN,10
94,2,0,LOSE,-10
95,0,0,LOSE,-20
95,1,0,WIN,10
95,2,0,LOSE,-10
96,0,0,LOSE,-10
96,1,0,WIN,10
96,2,0,WIN,10
97,0,0,WIN,10
97,1,0,LOSE,-10
97,2,0,TIE,0
98,0,0,WIN,10
98,1,0,LOSE,-10
98,2,0,TIE,0
99,0,0,LOSE,-10
99,1,0,LOSE,-10
99,2,0,LOSE,-10
100,0,0,LOSE,-10
100,1,0,LOSE,-10
100,2,0,WIN,15
